Location Name,Region,Identifier,Latitude,Longitude,RAOB Date,RAOB Time (UTC),RAOB Cycle,Obs 250mb (kt),GFS (kt),GFS Delta,ECMWF (kt),ECMWF Delta,CMC (kt),CMC Delta,ICON (kt),ICON Delta,RAOB Source,Status,Note
GORAKHPUR,IN,42379,26.75,83.3667,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
JALPAIGURI,IN,42399,26.5333,88.7167,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
GUWAHATI,IN,42410,26.1,91.5833,2026-02-04,00:00,00Z,115,109,-6,,,110,-6,113,-2,UWYO,OK,Exact 250 mb level.
BARMER,IN,42435,25.75,71.3833,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
KOTA AERODROME,IN,42452,25.15,75.85,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
ALLAHABAD/GHOORPUR,IN,42474,25.3093,81.8081,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
PATNA,IN,42492,25.6,85.1667,2026-02-04,00:00,00Z,83,82,-2,,,77,-6,81,-2,UWYO,OK,Exact 250 mb level.
SHILLONG,IN,42516,25.5667,91.8833,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
UDAIPUR DABOK,IN,42542,24.6167,73.8833,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
IMPHAL/TULIHAL,IN,42623,24.7667,93.9,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
BHUJ-RUDRAMATA,IN,42634,23.25,69.8,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
AHMADABAD,IN,42647,23.0667,72.6333,2026-02-03,00:00,00Z,53,51,-3,,,56,3,53,0,UWYO,OK,Exact 250 mb level.
BHOPAL/BAIRAGHAR,IN,42667,23.2833,77.35,2026-02-04,00:00,00Z,64,62,-2,,,64,0,65,1,UWYO,OK,Exact 250 mb level.
JABALPUR,IN,42675,23.2,79.95,2026-02-04,00:00,00Z,80,78,-2,,,73,-7,72,-8,UWYO,OK,Exact 250 mb level.
M.O. RANCHI,IN,42701,23.3167,85.3167,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
BANKURA,IN,42706,23.3833,87.0833,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
AGARTALA,IN,42724,23.8833,91.25,2026-02-04,00:00,00Z,112,114,2,,,111,-1,114,2,UWYO,OK,Exact 250 mb level.
LENGPUI,IN,42726,23.8333,92.6167,2026-02-04,00:00,00Z,111,110,-1,,,110,-1,110,-1,UWYO,OK,Exact 250 mb level.
JAMSHEDPUR (42798-0),IN,42798,22.8167,86.1833,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
KOLKATA/DUM DUM,IN,42809,22.65,88.45,2026-02-04,00:00,00Z,109,106,-3,,,108,-1,108,-1,UWYO,OK,Exact 250 mb level.
NAGPUR SONEGAON,IN,42867,21.1,79.05,2026-02-04,00:00,00Z,76,79,3,,,76,0,75,-1,UWYO,OK,Exact 250 mb level.
PBO RAIPUR,IN,42874,21.2333,81.65,2026-02-04,00:00,00Z,102,87,-16,,,91,-11,92,-10,UWYO,OK,Exact 250 mb level.
JHARSIGUDA,IN,42886,21.9167,84.0833,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
BHUBANESHWAR,IN,42971,20.25,85.8333,2026-02-04,00:00,00Z,93,96,3,,,98,5,97,4,UWYO,OK,Exact 250 mb level.
BOMBAY / SANTACRUZ,IN,43003,19.1167,72.85,2026-02-04,00:00,00Z,58,64,6,,,62,4,67,9,UWYO,OK,Exact 250 mb level.
JAGDALPUR,IN,43041,19.0833,82.0333,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
GOPALPUR,IN,43049,19.2667,84.8833,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
PUNE,IN,43063,18.5333,73.85,2026-02-04,00:00,00Z,58,61,3,,,59,1,60,2,UWYO,OK,Exact 250 mb level.
RAMGUNDAM,IN,43086,18.7667,79.4333,2026-02-04,00:00,00Z,96,90,-6,,,88,-9,90,-6,UWYO,OK,Exact 250 mb level.
RATNAGIRI,IN,43110,16.9833,73.3333,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
HYDERABAD AIRPORT,IN,43128,17.45,78.4667,2026-02-04,00:00,00Z,84,84,0,,,81,-3,84,0,UWYO,OK,Exact 250 mb level.
VISHAKHAPATNAM/WALTAIR,IN,43150,17.6833,83.3,2026-02-04,00:00,00Z,81,80,-1,,,82,1,81,0,UWYO,OK,Exact 250 mb level.
MACHILIPATNAM/FRANCHPET,IN,43185,16.2,81.15,2026-02-04,00:00,00Z,70,74,4,,,69,-1,72,2,UWYO,OK,Exact 250 mb level.
GOA/PANJIM,IN,43192,15.4833,73.8167,,,,,,,,,,,,,UWYO,NO_RAOB_250,No UWyo sounding found
