Location Name,Region,Identifier,Latitude,Longitude,RAOB Date,RAOB Time (UTC),RAOB Cycle,Obs 250mb (kt),GFS (kt),GFS Delta,ECMWF (kt),ECMWF Delta,CMC (kt),CMC Delta,ICON (kt),ICON Delta,RAOB Source,Status,Note
TOBOL'SK,RU,28275,58.15,68.25,2/3/2026,0:00,00Z,33,32,-1,,,33,0,34,1,UWYO,OK,Exact 250 mb level.
SODANKYLA ARCTIC RESEARCH CENT,FI,2836,67.3666,26.629,,,,,,,,,,,,,,NO_WY_STNM,Need 5-digit WMO for UWyo.
EKATERINBURG (VERHNEE DUBROVO),RU,28445,56.7333,61.0667,2/3/2026,0:00,00Z,45,57,12,,,50,5,50,5,UWYO,OK,Exact 250 mb level.
KURGAN,RU,28661,55.4567,65.4011,2/3/2026,0:00,00Z,33,38,5,,,35,2,35,2,UWYO,OK,Exact 250 mb level.
OMSK (RS),RU,28695,54.9333,73.4,2/3/2026,0:00,00Z,19,13,-6,,,20,1,18,-1,UWYO,OK,Exact 250 mb level.
UFA-DIOMA,RU,28722,54.7106,55.815,2/3/2026,0:00,00Z,64,66,2,,,67,3,67,3,UWYO,OK,Exact 250 mb level.
KOLPASEVO,RU,29231,58.3167,82.95,2/3/2026,0:00,00Z,52,54,2,,,53,1,52,0,UWYO,OK,Exact 250 mb level.
ENISEJSK,RU,29263,58.4528,92.2028,2/3/2026,0:00,00Z,54,55,1,,,54,0,54,0,UWYO,OK,Exact 250 mb level.
BOGUCANY,RU,29282,58.3833,97.45,2/3/2026,0:00,00Z,49,47,-3,,,47,-2,49,0,UWYO,OK,Exact 250 mb level.
EMEL' YANOVO,RU,29572,56.1806,92.6056,2/3/2026,0:00,00Z,68,66,-2,,,69,1,70,2,UWYO,OK,Exact 250 mb level.
BARABINSK,RU,29612,55.3544,78.3083,2/3/2026,0:00,00Z,27,21,-6,,,27,0,26,-1,UWYO,OK,Exact 250 mb level.
JOKIOINEN OBSERVATORY,FI,2963,60.814,23.4982,,,,,,,,,,,,,,NO_WY_STNM,Need 5-digit WMO for UWyo.
NOVOSIBIRSK,RU,29634,54.9667,82.95,2/3/2026,0:00,00Z,49,47,-2,,,47,-2,47,-2,UWYO,OK,Exact 250 mb level.
NIZHNEUDINSK,RU,29698,54.8833,99.0333,2/3/2026,0:00,00Z,313,73,-240,,,77,-237,78,-235,UWYO,OK_ESTIMATED,Nearest level used: 275 mb
BARNAUL (29839-0),RU,29839,53.5,83.8333,2/3/2026,0:00,00Z,45,38,-7,,,42,-3,39,-6,UWYO,OK,Exact 250 mb level.
ABAKAN,RU,29862,53.7667,91.3167,2/3/2026,0:00,00Z,74,72,-2,,,75,1,73,-1,UWYO,OK,Exact 250 mb level.
LERWICK,GB,3005,60.1392,-1.1847,,,,,,,,,,,,,,NO_WY_STNM,Need 5-digit WMO for UWyo.
VITIM,RU,30054,59.45,112.5833,2/2/2026,12:00,12Z,19,26,7,,,24,5,23,4,UWYO,OK,Exact 250 mb level.
SOUTH UIST RANGE,GB,3023,57.3575,-7.385,,,,,,,,,,,,,,NO_WY_STNM,Need 5-digit WMO for UWyo.
KIRENSK,RU,30230,57.7667,108.0667,2/3/2026,0:00,00Z,37,37,0,,,38,1,36,-1,UWYO,OK,Exact 250 mb level.
BRATSK,RU,30309,56.2833,101.75,2/3/2026,0:00,00Z,60,60,0,,,60,0,58,-2,UWYO,OK,Exact 250 mb level.
CHARA,RU,30372,56.9,118.2667,2/3/2026,0:00,00Z,45,25,-20,,,32,-13,18,-27,UWYO,OK,Exact 250 mb level.
BAGDARIN (RS),RU,30557,54.4667,113.5833,2/3/2026,0:00,00Z,74,61,-13,,,67,-7,66,-8,UWYO,OK,Exact 250 mb level.
